network,timestamp,text
MSNBC,10:28:00,"COMEY: ""CONFUSED"" BY TRUMP'S
PUBLIC EXPLANATIONS OF FIRING"
FOX,10:28:20,FMR FBI DIRECTOR TESTIFIES BEFORE SENATE PANEL
MSNBC,10:28:40,"COMEY: TRUMP ""DEFAMED"" FBI IN FIRING EXPLANATION"
FOX,10:28:50,COMEY: NOT FOR ME TO SAY IF TRUMP OBSTRUCTED
MSNBC,10:28:50,"COMEY: TRUMP ""DEFAMED ME"" AND THE FBI WITH ""LIES"""
CNN,10:29:00,FIRED FBI CHIEF COMEY TESTIFIES AT SENATE HEARING
MSNBC,10:29:10,"COMEY: ""NO DOUBT"" RUSSIA BEHIND ELECTION HACKS"
CNN,10:29:10,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
MSNBC,10:29:50,"COMEY: ""CONFIDENT"" NO VOTES ALTERED BY RUSSIA HACK"
CNN,10:30:00,COMEY: NO DOUBT RUSSIA MEDDLED IN ELECTION
CNN,10:30:10,COMEY: NOT FOR ME TO SAY IF TRUMP COMMITTED OBSTRUCTION
MSNBC,10:30:30,"COMEY: TRUMP DIDN'T ASK ME TO DROP
PROBE OF RUSSIA ELECTION HACKS"
CNN,10:30:40,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
FOX,10:31:10,COMEY: NOBODY ASKED ME TO STOP RUSSIA PROBE
MSNBC,10:31:20,"COMEY: ""SURE"" SPECIAL COUNSEL IS LOOKING
INTO WHETHER TRUMP OBSTRUCTED JUSTICE"
CNN,10:31:30,"COMEY: ""MASSIVE EFFORT"" BY RUSSIA TO TARGET ELECTION

Says ""at least hundreds"" of government, nonprofit, other agencies targeted"
FOX,10:31:40,FMR FBI DIRECTOR TESTIFIES BEFORE SENATE PANEL
FOX,10:32:00,"COMEY: I WILL NOT REPEAT MY STATEMENT
THAT I HAVE SUBMITTED FOR THE RECORD"
CNN,10:32:20,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
FOX,10:32:30,"COMEY: THE PRESIDENT REPEATEDLY
TOLD ME I WAS DOING A GREAT JOB"
CNN,10:32:40,COMEY: FBI KNEW OF RUSSIA HACK ATTEMPTS IN LATE 2O15
FOX,10:32:50,"COMEY: THE WORK OF THE FBI
WILL GO ON BEYOND MY WORK THERE"
FOX,10:33:10,"COMEY: THE FBI IS HONEST STRONG
AND WILL ALWAYS BE INDEPENDENT"
CNN,10:33:10,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
MSNBC,10:33:40,"COMEY: TRUMP'S FLYNN REQUEST ""DISTURBING"""
CNN,10:33:40,FIRED FBI CHIEF COMEY TESTIFIES AT SENATE HEARING
CNN,10:34:00,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
FOX,10:34:20,COMEY: NOT FOR ME TO SAY IF TRUMP OBSTRUCTED
MSNBC,10:34:30,"COMEY: ""SURE"" SPECIAL COUNSEL IS LOOKING
INTO WHETHER TRUMP OBSTRUCTED JUSTICE"
CNN,10:34:40,"COMEY: AG TOLD ME NOT TO CALL IT AN INVESTIGATION

Says Sessions' request to call it ""a matter"" concerned him"
FOX,10:34:50,"COMEY: THE PRESIDENT REPEATEDLY
TOLD ME I WAS DOING A GREAT JOB"
MSNBC,10:35:00,"COMEY: CAN'T SAY IN OPEN SETTING IF PARTS
OF TRUMP-RUSSIA DOSSIER WERE VERIFIED"
FOX,10:35:10,COMEY: TRUMP ADMINISTRATION CHOSE TO DEFAME ME
MSNBC,10:35:20,"COMEY: ""SHIFI'ING EXPLANATIONS"" FOR FIRING ""CONFUSED ME"""
